Woodrow Wilson House ,"2340 S St NW, Washington, DC 20008",$10 per person
Woman's National Democratic Club Museum,"1526 New Hampshire Avenue, NW Washington, DC 20036",$-- per person
White House,"1600 Pennsylvania Ave NW, Washington, DC 20500",$0 per person
Washington Monument,"2 15th St NW, Washington, DC 20024",$0 per person
United States Holocaust Memorial Museum,"100 Raoul Wallenberg Pl SW, Washington, DC 20024",$0 per person
United States Capitol,"First St SE, Washington, DC 20004",$0 per person
National Museum of the US Navy,"736 Sicard St SE, Washington, DC 20374",$0 per person
Tudor Place,"1644 31st St NW, Washington, DC 20007",$0 per person
The Wilderness Society Gallery,"1615 M Street NW Washington, D.C.",$0 per person
The Octagon House,"1799 New York Ave NW, Washington, DC 20006",$0 per person
Textile Museum,"701 21st St NW, Washington, DC 20052",$8 per person
Smithsonian American Art Museum,"F St NW &amp;, 8th St NW, Washington, DC 20004",$0 per person
Belmont-Paul Women's Equality National Monument,"144 Constitution Ave NE, Washington, DC 20002",$0 per person
Scottish Rite Temple and Supreme Council Library,"1733 16th St NW, Washington, DC 20009",$0 per person
Saint John Paul II National Shrine,"3900 Harewood Rd NE, Washington, DC 20017",$0 per person
S. Dillon Ripley Center,"1100 Jefferson Dr SW, Washington, DC 20560",$0 per person
Renwick Gallery,"1661 Pennsylvania Ave NW, Washington, DC 20006",$0 per person
President Lincoln's Cottage,"140 Rock Creek Church Rd NW, Washington, DC 20011",$15  per person
The Phillips Collection,"1600 21st St NW, Washington, DC 20009",$12 per person
Old Stone House ,"3051 M St NW, Washington, DC 20007",$0 per person
O Street Museum,"2016 O St NW, Washington, DC 20036",$0+  per person
Newseum,"555 Pennsylvania Ave NW, Washington, DC 20001",$25 per person
National Postal Museum,"2 Massachusetts Ave NE, Washington, DC 20002",$0 per person
National Portrait Gallery,"8th St. NW &amp; F St. NW, Washington, DC 20001",$0 per person
National Museum of Women in the Arts,"1250 New York Ave NW, Washington, DC 20005",$10 per person
National Museum of the American Indian," Independence Ave SW, Washington, DC 20560",$0 per person
Smithsonian National Museum of Natural History,"10th St. &amp; Constitution Ave. NW, Washington, DC 20560",$0 per person
National Museum of American Jewish Military History,"1811 R St NW, Washington, DC 20009",$0 per person
National Museum of American History,"1300 Constitution Ave NW, Washington, DC 20560",$0 per person
National Museum of African Art,"950 Independence Ave SW, Washington, DC 20560",$0 per person
National Museum of African American History and Culture,"1400 Constitution Ave NW, Washington, DC 20560",$0 per person
National Guard Memorial Museum,"One Massachusetts Ave NW, Washington, DC 20001",$0 per person
National Geographic Museum,"1145 17th St NW, Washington, DC 20036",$15 per person
National Gallery of Art,"Constitution Ave NW, Washington, DC 20565",$0 per person
National Building Museum,"401 F St NW, Washington, DC 20001",$10  per person
National Bonsai Foundation,"3501 New York Ave NE, Washington, DC 20002",$0 per person
National Archives Museum ,"700 Pennsylvania Ave NW, Washington, DC 20408",$0 per person
Museum of the Bible,"400 4th St SW, Washington, DC 20024",$25 per person
Mary McLeod Bethune Council House National Historic Site,"1318 Vermont Ave NW, Washington, DC 20005",$0 per person
Madame Tussauds,"1001 F St NW, Washington, DC 20004",$22+ per person
Lincoln Memorial,"2 Lincoln Memorial Cir NW, Washington, DC 20037",$0 per person
Lillian &amp; Albert Small Jewish Museum,"Washington, DC",$0 per person
Library of Congress,"101 Independence Ave SE, Washington, DC 20540",$0 per person
Laogai Museum,"First &amp; Second Floor, 1901 18th St NW, Washington, DC 20009",$0 per person
L. Ron Hubbard House,"1812 19th St NW, Washington, DC 20009",$0 per person
Kreeger Museum,"2401 Foxhall Rd NW, Washington, DC 20007",$10 per person
International Spy Museum,"700 L'Enfant Plaza SW, Washington, DC 20024",$25 per person
Interior Museum,"1849 C St NW, Washington, DC 20240",$0 per person
Howard University Art Gallery,"2455 6th St NW, Washington, DC 20059",$0 per person
"Historical Society of Washington, D.C.","801 K Street, NW Washington, DC 20001",$0 per person
Hirshhorn Museum and Sculpture Garden,"Independence Ave SW &amp;, 7th St SW, Washington, DC 20560",$0 per person
"Hillwood Estate, Museum &amp; Gardens","4155 Linnean Ave NW, Washington, DC 20008",$15 per person
Heurich House Museum,"1307 New Hampshire Ave NW, Washington, DC 20036",$10 per person
German-American Heritage Museum of the USA,"719 6th St NW, Washington, DC 20001",$5 per person
George Washington University Art Galleries,"500 17th Street, NW Washington, D.C. 20006",$5 per person
General Federation of Women's Clubs Headquarters,"1734 N St NW #1, Washington, DC 20036",$10 per person
National Deaf Life Museum at Gallaudet University,"Chapel Hall, 800 Florida Ave NE, Washington, DC 20002",$0 per person
Freer Gallery of Art,"Jefferson Drive and 12th Street, SW Washington, DC",$0 per person
Frederick Douglass National Historic Site,"1411 W St SE, Washington, DC 20020",$0 per person
Ford's Theatre ,"511 10th St NW, Washington, DC 20004",$3 per person
Folger Shakespeare Library,"201 E Capitol St SE, Washington, DC 20003",$0 per person
Dumbarton Oaks Research Library and Collection,"1703 32nd St NW, Washington, DC 20007",$0 per person
Dumbarton House,"2715 Q St NW, Washington, DC 20007",$10  per person
Decatur House,"748 Jackson Pl NW, Washington, DC 20006",$0 per person
DAR Museum,"1776 D St NW, Washington, DC 20006",$0 per person
Clara Barton Missing Soldiers Office,"437 7th Street NW, Washington, D.C. 20004",$10 per person
Charles Sumner School,"1201 17th St NW, Washington, DC 20036",$0 per person
Arthur M. Sackler Gallery,"1050 Independence Ave SW, Washington, DC 20560",$0 per person
Art Museum of the Americas,"201 18th St NW, Washington, DC 20006",$0 per person
Larz Anderson House,"2118 Massachusetts Ave NW, Washington, DC 20008",$0 per person
Anacostia Community Museum,"1901 Fort Pl SE, Washington, DC 20020",$0 per person
American University Museum,"4400 Massachusetts Ave NW, Washington, DC 20016",$0 per person
African American Civil War Memorial Museum,"1925 Vermont Ave NW, Washington, DC 20001",$0 per person
National Air and Space Museum,"600 Independence Ave SW, Washington, DC 20560",$0 per person
